annettevogt-20180320-rec_segment_0018;annettevogt-20180320-rec;segment_0018;In Dahlem. Wir sind in Berlin Dahlem.;in dahlem wir sind in berlin dahlem;3
annettevogt-20180320-rec_segment_0073;annettevogt-20180320-rec;segment_0073;Kryptografie ist jaja alles nicht ganz jaja nicht ganz unwichtig.  Wobei der;kryptografie ist jaja alles nicht ganz jaja nicht ganz unwichtig wobei der;3
annettevogt-20180320-rec_segment_0074;annettevogt-20180320-rec;segment_0074;Bernhard Riemann ein Mathematiker, der in Göttingen gelehrt hat, der hat die also so um 1854 auf;bernhard riemann ein mathematiker der in göttingen gelehrt hat der hat die also so um achtzehnhundertvierundfünfzig auf;3
annettevogt-20180320-rec_segment_0075;annettevogt-20180320-rec;segment_0075;gestellt. So alt ist die also schon. ja;gestellt so alt ist die also schon ja;3
annettevogt-20180320-rec_segment_0079;annettevogt-20180320-rec;segment_0079;gemacht wurde und das war auch der Grund. Also mein Vater war Mathematiklehrer, der hatte also gewusst, geh;gemacht wurde und das war auch der grund also mein vater war mathematiklehrer der hatte also gewusst geh;3
annettevogt-20180320-rec_segment_0080;annettevogt-20180320-rec;segment_0080;nicht da und da hin. Sondern gehe entweder nach Berlin oder nach Leipzig;nicht da und da hin sondern gehe entweder nach berlin oder nach leipzig;3
annettevogt-20180320-rec_segment_0081;annettevogt-20180320-rec;segment_0081;und dann habe ich in Leipzig studiert und in Leipzig gibt es das Sudhoff-Institut für die Geschichte Naturwissenschaften und Medizin.;und dann habe ich in leipzig studiert und in leipzig gibt es das sudhoff institut für die geschichte naturwissenschaften und medizin;3
annettevogt-20180320-rec_segment_0082;annettevogt-20180320-rec;segment_0082;Und daher wusste ich dann, so was kann man auch professionell machen, Mathematikgeschichte, nicht nur als Hobby.;und daher wusste ich dann so was kann man auch professionell machen mathematikgeschichte nicht nur als hobby;3
annettevogt-20180320-rec_segment_0083;annettevogt-20180320-rec;segment_0083;Oder wie viele Mathematiker denken, für emeritierte Professoren, die machen dann Mathematikgeschichte. *mhm*;oder wie viele mathematiker denken für emeritierte professoren die machen dann mathematikgeschichte mhm;3
annettevogt-20180320-rec_segment_0086;annettevogt-20180320-rec;segment_0086;Planck-Institute ist das Max-Planck-Institut für Wissenschaftsgeschichte ein Forschungsinstitut;planck institute ist das max planck institut für wissenschaftsgeschichte ein forschungsinstitut;3
annettevogt-20180320-rec_segment_0087;annettevogt-20180320-rec;segment_0087;unsere Mitarbeiter, wir;unsere mitarbeiter wir;3
annettevogt-20180320-rec_segment_0088;annettevogt-20180320-rec;segment_0088;können Lehre anbieten, aber wir müssen nicht. Und;können lehre anbieten aber wir müssen nicht und;3
annettevogt-20180320-rec_segment_0089;annettevogt-20180320-rec;segment_0089;die meisten von den älteren Kollegen bieten auch irgendwelche Lehrveranstaltungen an;die meisten von den älteren kollegen bieten auch irgendwelche lehrveranstaltungen an;3
annettevogt-20180320-rec_segment_0090;annettevogt-20180320-rec;segment_0090;weil das natürlich wichtig ist, dass man die Beziehungen zu den Studenten hat.;weil das natürlich wichtig ist dass man die beziehungen zu den studenten hat;3
annettevogt-20180320-rec_segment_0091;annettevogt-20180320-rec;segment_0091;Also jeder der Lehrerfahrung  hat, ich selber *eh* biete auch Lehrveranstaltungen an,;also jeder der lehrerfahrung hat ich selber eh biete auch lehrveranstaltungen an;3
annettevogt-20180320-rec_segment_0092;annettevogt-20180320-rec;segment_0092;zur allgemeinen Wissenschaftsgeschichte habe ich das Jahre lang gemacht, an der Humboldt-Universität.;zur allgemeinen wissenschaftsgeschichte habe ich das jahre lang gemacht an der humboldt universität;3
annettevogt-20180320-rec_segment_0093;annettevogt-20180320-rec;segment_0093;Und seit einigen Jahren biete ich an "Historia Statistics" an der wirtschaftswissenschaftlichen Fakultät. Der Kontakt zu Studenten ist,;und seit einigen jahren biete ich an historia statistics an der wirtschaftswissenschaftlichen fakultät der kontakt zu studenten ist;3
annettevogt-20180320-rec_segment_0094;annettevogt-20180320-rec;segment_0094;*eh* für jemanden, der nur (mit oder ohne Anfürhungsstrichen) forscht, sehr interessant und wichtig.;eh für jemanden der nur mit oder ohne anfürhungsstrichen forscht sehr interessant und wichtig;3
annettevogt-20180320-rec_segment_0095;annettevogt-20180320-rec;segment_0095;Weil die jungen Leute andere Fragen stellen können. Wenn sie interessiert sind, wenn man Glück hat und man hat interessierte Studenten *mhm*.;weil die jungen leute andere fragen stellen können wenn sie interessiert sind wenn man glück hat und man hat interessierte studenten mhm;3
annettevogt-20180320-rec_segment_0097;annettevogt-20180320-rec;segment_0097;Wir haben die Hoffnung. Wir haben die Hoffnung, dass;wir haben die hoffnung wir haben die hoffnung dass;3
annettevogt-20180320-rec_segment_0099;annettevogt-20180320-rec;segment_0099;um die Verbesserung der Ausbildung, Wissenschaftsgeschichte einen größeren Stellenraum einnimmt. Aus einem ganz einfachen Grund,;um die verbesserung der ausbildung wissenschaftsgeschichte einen größeren stellenraum einnimmt aus einem ganz einfachen grund;3
annettevogt-20180320-rec_segment_0100;annettevogt-20180320-rec;segment_0100;mit der Einführung des Bachelorstudiums lernen die Studenten in all diesen Fächern ja nur einen kleinen Teil der Disziplin kennen;mit der einführung des bachelorstudiums lernen die studenten in all diesen fächern ja nur einen kleinen teil der disziplin kennen;3
annettevogt-20180320-rec_segment_0101;annettevogt-20180320-rec;segment_0101;und haben oft weder Zeit noch die Möglichkeit,;und haben oft weder zeit noch die möglichkeit;3
annettevogt-20180320-rec_segment_0102;annettevogt-20180320-rec;segment_0102;das Fach zu überblicken. Und hier wäre Wissenschaftsgeschichte ein idealer Einstieg, in einer Art Studium Generale oder wie man immer das nennen will.;das fach zu überblicken und hier wäre wissenschaftsgeschichte ein idealer einstieg in einer art studium generale oder wie man immer das nennen will;3
annettevogt-20180320-rec_segment_0103;annettevogt-20180320-rec;segment_0103;Etwas zu vermitteln, dass;etwas zu vermitteln dass;3
annettevogt-20180320-rec_segment_0106;annettevogt-20180320-rec;segment_0106;Der zweite Grund wäre, man kann;der zweite grund wäre man kann;3
annettevogt-20180320-rec_segment_0107;annettevogt-20180320-rec;segment_0107;etwas über die professionellen *eh* Dinge vermitteln mit Hilfe der Wissenschaftsgeschichte. Auch etwas, wie ethische Fragen.;etwas über die professionellen eh dinge vermitteln mit hilfe der wissenschaftsgeschichte auch etwas wie ethische fragen;3
annettevogt-20180320-rec_segment_0108;annettevogt-20180320-rec;segment_0108;Wir haben die Debatten über den über die Fälschungen im Labor und man könnte sehr schön mit Hilfe von Wissenschaftsgeschichte;wir haben die debatten über den über die fälschungen im labor und man könnte sehr schön mit hilfe von wissenschaftsgeschichte;3
annettevogt-20180320-rec_segment_0109;annettevogt-20180320-rec;segment_0109;da eine Sensibilität entwickeln, ohne dass das so aufgesetzt wirkt und ohne dass man auf den nächsten Skandal warten muss. ja;da eine sensibilität entwickeln ohne dass das so aufgesetzt wirkt und ohne dass man auf den nächsten skandal warten muss ja;3
annettevogt-20180320-rec_segment_0110;annettevogt-20180320-rec;segment_0110;Das heißt Wissenschaftsgeschichte in den Universitäten;das heißt wissenschaftsgeschichte in den universitäten;3
annettevogt-20180320-rec_segment_0111;annettevogt-20180320-rec;segment_0111;sollte stärker entwickelt werden. Und;sollte stärker entwickelt werden und;3
annettevogt-20180320-rec_segment_0112;annettevogt-20180320-rec;segment_0112;und wie gesagt, unser Institut *ehm* hat einen großen Zulauf von von jungen Doktoranden aus aus aller Welt;und wie gesagt unser institut ehm hat einen großen zulauf von von jungen doktoranden aus aus aller welt;3
annettevogt-20180320-rec_segment_0113;annettevogt-20180320-rec;segment_0113;und es ist eben schade, wenn die dann *eh*;und es ist eben schade wenn die dann eh;3
annettevogt-20180320-rec_segment_0114;annettevogt-20180320-rec;segment_0114;Jobchancen wirklich nur in in Großbritannien oder in den USA finden.;jobchancen wirklich nur in in großbritannien oder in den usa finden;3
annettevogt-20180320-rec_segment_0115;annettevogt-20180320-rec;segment_0115;Weil die Chancen an deutschen Universitäten leider sehr gering sind. *mhm*;weil die chancen an deutschen universitäten leider sehr gering sind mhm;3
annettevogt-20180320-rec_segment_0117;annettevogt-20180320-rec;segment_0117;europäischen Vergleich gab es die ersten professionellen Institute;europäischen vergleich gab es die ersten professionellen institute;3
annettevogt-20180320-rec_segment_0118;annettevogt-20180320-rec;segment_0118;für Naturwissenschaftsgeschichte und Medizingeschichte hier in;für naturwissenschaftsgeschichte und medizingeschichte hier in;3
annettevogt-20180320-rec_segment_0119;annettevogt-20180320-rec;segment_0119;übrigens also in Leipzig dieses Sudhoff-Institut, benannt nach einem Medizinhistoriker;übrigens also in leipzig dieses sudhoff institut benannt nach einem medizinhistoriker;3
annettevogt-20180320-rec_segment_0120;annettevogt-20180320-rec;segment_0120;und in Berlin gab es auch ein Institut sehr früh für Naturwissenschaftsgeschichte und Medizin *mhm*.;und in berlin gab es auch ein institut sehr früh für naturwissenschaftsgeschichte und medizin mhm;3
annettevogt-20180320-rec_segment_0121;annettevogt-20180320-rec;segment_0121;Und insofern, es gibt Traditionen, an die man positiv anknüpfen könnte.;und insofern es gibt traditionen an die man positiv anknüpfen könnte;3
annettevogt-20180320-rec_segment_0129;annettevogt-20180320-rec;segment_0129;hat? *hehe* Betrieben hat betrieben hat , *eh* das ist ein großer Streit, *eh* ob man das erfunden, entdecken *eh* nennen kann.;hat hehe betrieben hat betrieben hat eh das ist ein großer streit eh ob man das erfunden entdecken eh nennen kann;3
annettevogt-20180320-rec_segment_0132;annettevogt-20180320-rec;segment_0132;Und da sind auch sehr sehr interessante Forschungen. Und da kann man immer noch;und da sind auch sehr sehr interessante forschungen und da kann man immer noch;3
annettevogt-20180320-rec_segment_0133;annettevogt-20180320-rec;segment_0133;also wer jetzt von den Zuhörern wissenschaftshistorisch arbeiten will später, da gibt es noch ganz viele offene Forschungsfragen.;also wer jetzt von den zuhörern wissenschaftshistorisch arbeiten will später da gibt es noch ganz viele offene forschungsfragen;3
annettevogt-20180320-rec_segment_0134;annettevogt-20180320-rec;segment_0134;Das hängt auch damit zusammen, da müssen wir mit Archäologen zusammenarbeiten und dann finden die also neue kleine;das hängt auch damit zusammen da müssen wir mit archäologen zusammenarbeiten und dann finden die also neue kleine;3
annettevogt-20180320-rec_segment_0136;annettevogt-20180320-rec;segment_0136;oder alte Fragen neu beantworten. Aber die Antike ist wichtig, weil;oder alte fragen neu beantworten aber die antike ist wichtig weil;3
annettevogt-20180320-rec_segment_0137;annettevogt-20180320-rec;segment_0137;mit der Antike verbinden wir Wissenschaft, wie wir sie heute noch *eh* verstehen. Dass das also ein System von;mit der antike verbinden wir wissenschaft wie wir sie heute noch eh verstehen dass das also ein system von;3
annettevogt-20180320-rec_segment_0138;annettevogt-20180320-rec;segment_0138;Kenntnissen, von Wissen ist. Also im deutschen Wort Wissenschaft steht ja Wissen;kenntnissen von wissen ist also im deutschen wort wissenschaft steht ja wissen;3
annettevogt-20180320-rec_segment_0139;annettevogt-20180320-rec;segment_0139;ist da mit enthalten.;ist da mit enthalten;3
annettevogt-20180320-rec_segment_0140;annettevogt-20180320-rec;segment_0140;Und dass es Leute gibt, Menschen, meistens Männer,;und dass es leute gibt menschen meistens männer;3
annettevogt-20180320-rec_segment_0141;annettevogt-20180320-rec;segment_0141;aber auch ein paar Frauen schon, die;aber auch ein paar frauen schon die;3
annettevogt-20180320-rec_segment_0142;annettevogt-20180320-rec;segment_0142;sich die die Zeit hatten, die Möglichkeit hatten, nachzudenken,zu überlegen,;sich die die zeit hatten die möglichkeit hatten nachzudenken zu überlegen;3
annettevogt-20180320-rec_segment_0143;annettevogt-20180320-rec;segment_0143;und zu versuchen, diese einzelnen Wissensteile;und zu versuchen diese einzelnen wissensteile;3
annettevogt-20180320-rec_segment_0144;annettevogt-20180320-rec;segment_0144;zu systematisieren, in ein gewisses System zu bringen.;zu systematisieren in ein gewisses system zu bringen;3
annettevogt-20180320-rec_segment_0145;annettevogt-20180320-rec;segment_0145;Und wir haben also die Anfänge der Philosophie und;und wir haben also die anfänge der philosophie und;3
annettevogt-20180320-rec_segment_0146;annettevogt-20180320-rec;segment_0146;die Wissenschaftler damals waren aber gleichzeitig auch Mathematiker oder Astronom;die wissenschaftler damals waren aber gleichzeitig auch mathematiker oder astronom;3
annettevogt-20180320-rec_segment_0147;annettevogt-20180320-rec;segment_0147;also die Trennung in diese Disziplinen ist etwas, was erst sehr viel später erfolgt.;also die trennung in diese disziplinen ist etwas was erst sehr viel später erfolgt;3
annettevogt-20180320-rec_segment_0149;annettevogt-20180320-rec;segment_0149;Und es gab natürlich auch Praktiker. Also so etwas, die hießen nicht Ingenieur, aber es gab so etwas wie;und es gab natürlich auch praktiker also so etwas die hießen nicht ingenieur aber es gab so etwas wie;3
annettevogt-20180320-rec_segment_0150;annettevogt-20180320-rec;segment_0150;Bauleute, denn gerade wenn man an diese;bauleute denn gerade wenn man an diese;3
annettevogt-20180320-rec_segment_0151;annettevogt-20180320-rec;segment_0151;heute noch Spuren dieser Riesenbauten denkt, dann brauchten die natürlich auch ein gewisses;heute noch spuren dieser riesenbauten denkt dann brauchten die natürlich auch ein gewisses;3
annettevogt-20180320-rec_segment_0152;annettevogt-20180320-rec;segment_0152;Wissen, *eh* in wie weit das theoretisch formuliert war, das ist dann oft eine interessante Forschungsfrage und wird auch;wissen eh in wie weit das theoretisch formuliert war das ist dann oft eine interessante forschungsfrage und wird auch;3
annettevogt-20180320-rec_segment_0153;annettevogt-20180320-rec;segment_0153;neu betrachtet. Also gerade dieses praktische Wissen in Verbindung mit theoretischem Wissen, wie die Bezüge waren.;neu betrachtet also gerade dieses praktische wissen in verbindung mit theoretischem wissen wie die bezüge waren;3
annettevogt-20180320-rec_segment_0154;annettevogt-20180320-rec;segment_0154;Da gibt es *eh* international interessante Forschungsprojekte. Die also eher;da gibt es eh international interessante forschungsprojekte die also eher;3
annettevogt-20180320-rec_segment_0155;annettevogt-20180320-rec;segment_0155;zu dem Schluss kommen, dass das nicht so eine strikte Trennung war und dass die Übergänge fließend waren und der Austausch des Wissens.;zu dem schluss kommen dass das nicht so eine strikte trennung war und dass die übergänge fließend waren und der austausch des wissens;3
annettevogt-20180320-rec_segment_0156;annettevogt-20180320-rec;segment_0156;Und dann gab es eben auch schon welche, die versucht haben, das aufzuschreiben. Also wirklich zu überliefern;und dann gab es eben auch schon welche die versucht haben das aufzuschreiben also wirklich zu überliefern;3
annettevogt-20180320-rec_segment_0157;annettevogt-20180320-rec;segment_0157;*eh* den Schülern, wenn man so will. Also der jungen Generation. Und das sind dann halt die Bruchstücke, die wir an Quellen haben.;eh den schülern wenn man so will also der jungen generation und das sind dann halt die bruchstücke die wir an quellen haben;3
annettevogt-20180320-rec_segment_0171;annettevogt-20180320-rec;segment_0171;die die Idee, dass Sie da sagen, in dem Moment, wo es;die die idee dass sie da sagen in dem moment wo es;3
annettevogt-20180320-rec_segment_0172;annettevogt-20180320-rec;segment_0172;*eh* Personengruppen gibt in diesen Gesellschaften, die;eh personengruppen gibt in diesen gesellschaften die;3
annettevogt-20180320-rec_segment_0173;annettevogt-20180320-rec;segment_0173;*eh* hauptsächlich Wissenschaft machen können.;eh hauptsächlich wissenschaft machen können;3
annettevogt-20180320-rec_segment_0174;annettevogt-20180320-rec;segment_0174;Die dann also auch *eh* finanziert werden von den anderen, und wo von den anderen akzeptiert wird, das ist was spezielles  und dafür müssen die die Freiräume haben und;die dann also auch eh finanziert werden von den anderen und wo von den anderen akzeptiert wird das ist was spezielles und dafür müssen die die freiräume haben und;3
annettevogt-20180320-rec_segment_0176;annettevogt-20180320-rec;segment_0176;In dem Moment kann man dann von Wissenschaftler reden. Dass die also  *eh*;in dem moment kann man dann von wissenschaftler reden dass die also eh;3
annettevogt-20180320-rec_segment_0177;annettevogt-20180320-rec;segment_0177;das tun, aber gleichzeitig natürlich wissen, dass sie es in diesem Kontext dieser Gesellschaft tun,;das tun aber gleichzeitig natürlich wissen dass sie es in diesem kontext dieser gesellschaft tun;3
annettevogt-20180320-rec_segment_0178;annettevogt-20180320-rec;segment_0178;und auch für diese Gesellschaft.;und auch für diese gesellschaft;3
annettevogt-20180320-rec_segment_0179;annettevogt-20180320-rec;segment_0179;Und sehr oft war das;und sehr oft war das;3
annettevogt-20180320-rec_segment_0180;annettevogt-20180320-rec;segment_0180;angebunden an an *eh* religiöse *eh* Tätigkeiten. Also Priester.;angebunden an an eh religiöse eh tätigkeiten also priester;3
annettevogt-20180320-rec_segment_0181;annettevogt-20180320-rec;segment_0181;Und wir wissen ja, dass es also sehr früh;und wir wissen ja dass es also sehr früh;3
annettevogt-20180320-rec_segment_0182;annettevogt-20180320-rec;segment_0182;astronomische Kenntnisse favorisiert wurden, weil die sind wichtig. Die sind wichtig zur Bestimmung von Zeit und Ort;astronomische kenntnisse favorisiert wurden weil die sind wichtig die sind wichtig zur bestimmung von zeit und ort;3
annettevogt-20180320-rec_segment_0183;annettevogt-20180320-rec;segment_0183;und die sind wichtig, um diese diese Frühling, Sommer, also die Jahreszeiten zu bestimmen.;und die sind wichtig um diese diese frühling sommer also die jahreszeiten zu bestimmen;3
annettevogt-20180320-rec_segment_0184;annettevogt-20180320-rec;segment_0184;Und *eh* insofern ist das also einerseits theoretisch, aber andererseits natürlich auch;und eh insofern ist das also einerseits theoretisch aber andererseits natürlich auch;3
annettevogt-20180320-rec_segment_0186;annettevogt-20180320-rec;segment_0186;Oder wir wissen, dass die administrative Verwaltung *eh* eine gewisse Grundkenntnis braucht. Also wenn eine;oder wir wissen dass die administrative verwaltung eh eine gewisse grundkenntnis braucht also wenn eine;3
annettevogt-20180320-rec_segment_0187;annettevogt-20180320-rec;segment_0187;*eh* wenn ein solcher Staat *eh* so ein staat in dem Sinne *eh*;eh wenn ein solcher staat eh so ein staat in dem sinne eh;3
annettevogt-20180320-rec_segment_0188;annettevogt-20180320-rec;segment_0188;Steuern einnehmen will, dann braucht er Kundige, die das tun. Und die das dann auch aufschreiben.;steuern einnehmen will dann braucht er kundige die das tun und die das dann auch aufschreiben;3
annettevogt-20180320-rec_segment_0189;annettevogt-20180320-rec;segment_0189;*mhm* Und insofern sind die Bezüge am Anfang sehr eng. Und;mhm und insofern sind die bezüge am anfang sehr eng und;3
